"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela ocellata rectilatera Chaudoir, 1843","Ecology. Eurytopic, riparian, hygrophilous, halophilous, thermophobous, epigean (adult); fossorial (larva). Edges of ponds, salt lakes, rivers (and their bars), brooks, springs, irrigation ditches, roadside ditches, cattle holes, road pools, and rain puddles; alkali flats, salt flats, salt marshes, tidal flats, and sea beaches. Sometimes found a few kilometers from bodies of water. Open ground; wet, often sandy, sometimes muddy or clayey, often saline soil, bare or vegetated with grass or weeds. Larval habitat: aggregated burrows (20-25 cm deep) curved nearly to a horizontal plane at the bottom and dug into heavy, clayey soil at a distance of 300-400 m from the adult habitat. Both diurnal and nocturnal; during the hottest part of the day, hides among the vegetation on which it can climb up to 1.5 m above the ground. Gregarious, occurs in swarms.","Biology. Seasonality: April-September, December. Mating: lasts 1 min.; male runs rapidly after mating to escape the female counter-attack. Oviposition: female flies some distance, sometimes up to 400 m, from the adult habitat to deposit eggs singly at intervals of 2.5 to 15 em. Omnivorous. Adult food, in the field: ants, other insects, marine fleas, young fiddler crabs, dead fish and rabbit, algae and fine green moss. Predators: flycatchers. Defense mechanism: when alarmed, runs by spurts and readily flies a distance of 2.8 m on average; produces defensive secretions to deter predators. Quite easily captured.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner. Very active.",
"Cicindela ohlone Freitag and Kavanaugh, 1993","Ecology. Stenotopic, coastal, epigean. Remnant stands of native grasslands: along trails and trampled areas. Open ground; poorlydrained soil consisting of clay or sandy clay over bedrock and covered by low sparse vegetation. Diurnal.","Biology. Seasonality: January-April, mostly February-March. Defense mechanism: often flies to areas of denser grass, when disturbed.","Dispersal power. Macropterous. Good flier. Fast runner. Conservation status. Rare species.",
"Cicindela olivacea Chaudoir, 1854","Ecology. Stenotopic, coastal, saxicolous, epigean. Island shorelines. Close to the water's edge. Open ground; rocky soil of coral reef type, covered with coarse sand, coral, and broken shells. Adult tending to occur on a rock or a rocky area. Both diurnal and nocturnal.","Biology. Seasonality: June-August. Defense mechanism: cryptic coloration - body color blends with its background; when disturbed, escapes by flying in a quick and erratic manner, occasionally alighting on sandy areas, but soon returning to the rocks. Difficult to capture because of the uneven rocky surface of its habitat.","Dispersal power. Macropterous. Strong flier. Attracted to artificial light at night. Fast runner.",
"Cicindela oregona guttifera LeConte, 1857","Ecology. Eurytopic, riparian, hygrophilous, heliophilous, epigean. River and brook banks. Open ground; wet, sandy, muddy, rarely rocky, bare or sparsely vegetated soil. Diurnal; flying in the sunshine. Gregarious, often occurs in large numbers. Associated species: C. repanda tanneri, C. repanda repanda, C. hirticollis corpuscula, and C. tranquebarica kirbyi.","Biology. Seasonality: May- June, August. Spring-fall species. Defense mechanism: cryptic coloration - body color blends perfectly with its surroundings; readily escapes by flying a short distance (less than 3 m) at the slightest disturbance. Very wary.","Dispersal power. Macropterous. Good flier. Fast runner. Quite active.",
"Cicindela oregona maricopa Leng, 1902","Ecology. Stenotopic, riparian, hygrophilous, epigean (adult); fossorial '(larva). Banks and sand bars along semipermanent streams. Open ground; moist, sandy or muddy soil. Larval habitat: closer to the water's edge than the adult; burrows preferably dug into the fine moist sand. Diurnal.","Biology. Seasonality: March-April, September-October. Spring-fall species. Predaceous. Adult food, in the laboratory: small crickets. Defense mechanism: cryptic coloration - light violet or green lustre of blackish elytra blends with the predominant basalt stones of the h~bitat.","Dispersal power. Macropterous. Fast runner. Conservation status. Subspecies threatened by off-road vehicle traffic.",
"Cicindela oregona navajoensis Van Dyke, 194 7","Ecology. Stenotopic, riparian, hygrophilous, epigean. Stream banks. Open ground: moist soil. Diurnal. Gregarious.","Biology. Seasonality: June-July. Spring-fall species. Predaceous. Adult food, in the laboratory: small crickets. Defense mechanism: cryptic coloration - coppery red color blends with the sandstone deposits of stream beds.","Dispersal power. Macropterous. Fast runner.",
"Cicindela oregona oregona LeConte, 1857","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, thern1- ophobous, epigean (adult); fossorial (larva). Sea beaches, estuarine beaches; tidal flats, alkali flats; banks and bars along rivers; edges of small desert springs, lakes, ponds, and livestock reservoirs; salt marshes. Close to the water's edge. Open ground; moist or wet, rarely dry, sometimes saline soil consisting of dark sand, gravel, mud, clay or stones, bare, sparsely vegetated or with open patches of vegetation. Larval habitat: sloping, moist, sandy or clayish banks; burrows ( 12.5-30.0 cm deep) generally vertical in orientation, but horizontal if dug into vertical banks, open from March to October. Diurnal; becoming active at 15°C. Gregarious, occurring in swarms. Associated species: C. repanda repanda, C. duadecimguttata, and C. hirticallis shelfardi.","Biology. Seasonality: March-November; one major peak of activity in June- July and a smaller one in September-October; females numerous than males early in the season, but males more abundant than females late in the season. Spring-fall species. Mating: May, July; interspecific copulation observed with C. duadecimguttata, C. repanda repanda and C. willistani pseudasenilis. Oviposition: May-July. Tenerals: August-September. Overwinters both in the adult and larval (second-instar) stages; larval burrows closed during the winter. Adult food, in the field: small arthropods. Larval food, in the field: ants, tabanid flies, and a coccinellid; larvae cannibalistic when coming into contact. Predators: frogs and gnaphosid spiders. Larval parasites: bombyliid flies. Defense mechanism: cryptic coloration - dark elytra with pale maculations blend perfectly with the surrounding black sand containing little flecks of white; body coloration turns to black with age; escapes by slow flights when pursued, then easily caught by hand; produces defensive secretions to deter predators; when netted, burying itself just under the sand, then difficult to see and often escaping. Quite wary.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela pamphila LeConte, 1873","Ecology. Stenotopic, coastal, hygrophilous, halophilous, epigean. Sea beaches, lagoon edges, sea inlets, salt flats, mud flats, tidal flats near bays, creek shores, salt marshes opening to the sea, and edges of saline pools. Open ground; bare, muddy, saline soil. Diurnal; seen active in early morning. Associated species: C. severa severa, C. acellata rectilatera, and C. hamata manti.","Biology. Seasonality: June-October. Defense mechanism: escape by a short flight and easily caught.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela parowana parowana Wickham, 1905","Ecology. Eurytopic, riparian, hygrophilous, halophilous, heliophilous, epigean. Shores of lakes, reservoirs, springs, and irrigation ditches; alkali flats and small bare spots. Normally close to the water's edge but sometimes up to one kilometer from it. Open ground; moist or wet, sandy or muddy, mostly alkaline soil with bare spots or sparsely vegetated with grass or weeds. Diurnal; running and flying in the sunshine.","Biology. Seasonality: March-April, July- September. Spring-fall species. Defense mechanism: escapes by flight. Quite wary.","Dispersal power. Macropterous. Flier. Fast runner.",
"Cicindela parowana platti Cazier, 193 7","Ecology. Stenotopic, xerophilous, halophilous, epigean. Hill slopes at about 30-50 m from rivers. Open ground; dry, powdery, sometimes alkaline soil vegetated with grass stubble. Diurnal. Gregarious.","Biology. Seasonality: July-September.","Dispersal power. Macropterous. Fast runner.",
"Cicindela parowana remittens Casey, 1924","Ecology. Unknown.","Biology. Unknown","Dispersal power. Unknown.",
"Cicindela parowana wallisi Calder, 1922","Ecology. Stenotopic, halophilous, epigean. Alkali flats and paths. Open ground; alkaline soil. Diurnal. Associated species: C. hemorrhagica hemorrhagica, C. oregona oregona, and C. terricola imperfecta.","Biology. Seasonality: March-June, August-September, mostly AprilMay. Spring-fall species.","Dispersal power. Macropterous. Fast runner.",
"Cicindela patruela consentanea Dejean, 1825","Ecology. Stenotopic, silvicolous, psammophilous, epigean. Coniferous forests (pine) and pine barrens: sandy paths, trails, little-used roads, roadsides, small sandy spots, clearings, edges, and gravelly bluffs. Open ground; mostly sandy soil blackened by decaying vegetation, sometimes, on small slopes, with scattered small stones and pebbles. Diurnal; hiding during the hottest pmi of the day under low vegetation; most active from mid- to late afternoon.","Biology. Seasonality: March-October (e.g., April-June, September in NJ). Spring-fall species with stragglers in midsummer. Defense mechanism: cryptic coloration - dark body color blends perfectly with the mosaic formed by blackened areas of dead lichens, cryptogamic soil, and charcoal lying on sand; when disturbed, often flies into the forest undergrowth where it becomes very hard to see. Very wary.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela patruela patruela Dejean, 1825","Ecology. Eurytopic, silvicolous, psammophilous, thermophilous, heliophilous, epigean (adult); fossorial (larva). Mostly hills and mountains. Mixed forests (mostly dominated by jack-pine, sometimes oak or aspen): little-used roads, fire lanes, paths, trails, clearings, eroded slopes, and edges of abandoned sand quarries adjoining grassy hillsides, and fields near tree-trunks or patches of plum brush. Open or partly-shaded ground; dry soil, bare or sparsely vegetated with grass, moss and lichens, and consisting mostly of sand, which may be coarse, sometimes of sandstone, clay or rock. Adult preferring the grassy growth in and along the edges of open areas. Larval habitat: Burrows. Diurnal; sometimes found under leaves during the day; not active before 9:00-10:00 A.M.; basks to elevate its body temperature to about 34°C; stilts and shuttles to shade to maintain this temperature. Gregarious, not usually occurring in large numbers. Associated species: C. longilabris longilabris and C. sexguttata.","Biology. Seasonality: April-November (e.g., April-June, AugustSeptember in NH). Spring-fall species, with stragglers in midsummer. Duration of life cycle: 2 years (1 year in captivity). Mating: May-July. Oviposition: in shaded, barren areas, above a trail, among lichens and moss, in June.Tenerals: September. Overwinters at least in the adult stage, but possibly also in the pupal stage. Defense mechanism: cryptic coloration - body color blends with the surrounding green vegetation; flies frequently into the shade of the forest when disturbed, usually for short distances and returning to its starting point after a while; emits a chemical liquid when captured. Not very wary.","Dispersal power. Macropterous. Good flier. Fast runner. Taken in malaise traps. Conservation status. Almost extinct in parts of MD.",
"Cicindela pilatei (Guerin-Meneville, 1845)","Ecology. Eurytopic, coastal, epigean. Vicinity of bayous; edges of drying salt marshes; forests near lakes; little-used paths; fields, under haycocks; corn fields, on dry loam. Close to the water's edge. Open ground; sparsely vegetated soil. Mostly nocturnal, tending to be crepuscular; appears on roads about 4:00 P.M.; also active early in the morning, just after dawn. Solitary.","Biology. Seasonality: May- July. Defense mechanism: escape by quickly running and hiding in the vegetation, then easily captured by hand.","Dispersal power. Subapterous; flightless. Attracted to artificial lights at night. Fast runner.",
"Cicindela pimeriana LeConte, 1866","Ecology. Eurytopic, steppicolous, halophilous, epigean (adult); fossorial (larva). Edges of ponds, lakes, and artesian wells in grasslands; dry flats close to the water's edge; dry grassland areas. Open ground; wet to dry, clayey or sandy, saline, bare or sparsely vegetated soil. Larval habitat: burrows dug into saltbush flats. Diurnal; basking, foraging, stilting, and shuttling to shade at 30.9°C, 33.2°C, 38.8°C, and 39.1 oc respectively in AZ. Mean minimum thoracic temperature for coordinated walking, in the laboratory: I 7.5°C. Gregarious. Associated species: C. nigrocoerulea nigrocoerulea, C. sedecimpuncta sedecimpunctata, C. marutha, C. praetextata erronea, and c. obsoleta santaclarae.","Biology. Seasonality: July-November, mostly in late summer and September-November. Spring individuals which survive until fall become dull black. Predaceous. Adult food, in the laboratory: beetles and flies. Predators: asilid flies. Mites occurring on adult body. Defense mechanism: escapes by long, regular flights between long rest periods, possibly as self-defense against asilid flies.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela plutonica leachi Cazier, 1936","Ecology. Eurytopic, xerophilous, halophilous, epigean. Semi-alkaline and alkaline areas, desert sand dunes, scab-rock flats, foothill brushlands and pasturelands, and open exposed slopes at higher altitudes. Open ground; dry, sandy or rocky, alkaline soil, bare or sparsely vegetated with grass or forbes. Diurnal. Associated species: C. pwpurea audubonii and C. oregona oregona.","Biology. Seasonality: March-April, June-July, September-October. Defense mechanism: escapes by flight for some distance.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela plutonica plutonica Casey, 1897","Ecology. Eurytopic, xerophilous, heliophilous, epigean. Rocky hillsides about snow pools and snow fields; sagebrush areas and adjoining roads and washes. Open ground; dry, rocky or sandy soil sparsely vegetated with sagebrush and grass. Diurnal; inactive on overcast days, almost inactive on windy days. Associated species: C. purpurea audubonii and C. tranquebarica tranquebarica.","Biology. Seasonality: January, June-July; mostly June. Mating: June. Defense mechanism: cryptic coloration- dark body color blends with the black soil; escapes by flying quickly for some distance.","Dispersal power. Macropterous. Strong flier. Fast runner.",
"Cicindela politula barbaraannae Sumlin, 1976","Ecology. Stenotopic, silvicolous, xerophilous, epigean. Limestone scrub woodlands. Open ground; dry, bare soil consisting of limestone. Adults tend to occur on large ledges of higher elevations. Diurnal; seen active in the afternoon.","Biology. Seasonality: August-September.","Dispersal power. Wing condition unknown. Fast runner. Conservation status. Rare subspecies.",
"Cicindela politula petrophila Sumlin, 1985","Ecology. Stenotopic, silvicolous, xerophilous, saxicolous, epigean. Limestone scrub woodlands. Open ground; dry, rocky, bare soil consisting of limestone. Adults tend to occur on stones or boulders. Diurnal.","Biology. Seasonality: July-August.","Dispersal power. Wing condition unknown. Fast runner. Conservation status. Rare subspecies.",
"Cicindela politula politula LeConte, 1875","Ecology. Stenotopic, xerophilous, epigean. Limestone scrub woodlands, open hillsides, and dirt roads and trails. Open ground; dry soil consisting of limestone or calcareous clay, and bare or sparsely vegetated with herbs, grass, junipers, and dwarf oaks. Adult tending to occur on large limestone blocks, stones or bare clay. Diurnal.","Biology. Seasonality: August-November, more rare in October. Defense mechanism: Not attempting to fly when pursued.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela politula viridimonticola Gage, 1988","Ecology. Epigean. Unknown.","Biology. Seasonality: August.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela praetextata pallidofemora Acciavatti, 1980","Ecology. Stenotopic, riparian, hygrophilous, epigean. River flats. Open ground; wet, muddy soil. Both diurnal and nocturnal.","Biology. Seasonality: June- August, mostly August.","Dispersal power. Wing condition unknown. Attracted to artificial light at night. Fast runner.",
"Cicindela praetextata praetextata LeConte, 1854","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Mostly pond edges; also river mud flats and sand bars. Open ground; wet, sandy or muddy, often alkaline soil. Adults tend to occur in the grass or in bare areas. Both diurnal and nocturnal. Gregarious, occurs in large numbers.","Biology. Seasonality: May- August. Mating: May.","Dispersal power. Wing condition unknown. Attracted to artificial light at night. Fast runner.",
"Cicindela pruinina (Casey, 1897)","Ecology. Eurytopic, psammophilous, epigean. Disturbed habitats: meadows, cultivated fields (com, hay), lawns, parks, roads, forest paths and clearings. Open ground; sandy, more or less vegetated soil. Mostly crepuscular; active after 4:00 P.M.; when inactive, hides under haycocks.","Biology. Seasonality: June-August, mostly July. Defense mechanism: runs through the vegetation when pursued. Easily captured by hand.","Dispersal power. Flightless. Fast runner.",
"Cicindela pugetana Casey, 1914","Ecology. Stenotopic, epigean. Sagebrush tracts. Open ground; loamy, more or less vegetated soil. Diurnal.","Biology. Seasonality: April-June, September-October.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela pulchra dorothea Rumpp, 1977","Ecology. Stenotopic, xerophilous, steppicolous, epigean. Grassland and grassy flatlands. Not associated with water. Open ground; dry soil with bare spots sun·ounded by grass clumps. Adults tend to occur in the shade of grass clumps. Diurnal; not seen foraging after 11 :00 A.M.","Biology. Seasonality: May, July-September, mostly August. Defense mechanism: when flushed from grass clumps, escapes by one flight andlor rapidly runs to the nearest clump.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela pulchra pulchra Say, 1823","Ecology. Eurytopic, steppicolous, psammophilous, epigean (adult); fossorial (larva). Eroded grasslands, arid tablelands, rangelands, tops of clay bluffs and hills: bare clay flats, barren spots, small openings, dirt roads and little-used roads; also clayey washes near chalk outcroppings. Open ground; dry soil, bare or vegetated with grass clumps and usually consisting of clay or loam, sometimes sand or gravel. Adults tend to move rapidly between grass clumps. Larval habitat: grasslands, saltbush and mesquite flats, and arroyos; scattered vertical burrows (third instar, 6.5-15.3 cm deep, 12.6 cm on average) dug into bare, hard-packed, silty clay-loam or moist adobe. Diumal; basking, foraging, stilting, and shuttling to shade at 32.2°C, 36.4°C, 37°C, and 39°C respectively in AZ; active for about 5 hours each day. Mean minimum thoracic temperature for coordinated walking, in the laboratory: 17.8°C. Solitary (CO) or gregarious (KS). Associated species: C. ohsoleta obsoleta, C. punctulata punctulata, and C. lemniscata lemniscata.","Biology. Seasonality: February, April-October. Either spring-fall (CO, KS) or summer species (NE). Duration of life cycle: 2 years. Tenerals: September. Predaceous. Adult food, in the field: acridids. Adult food, in the laboratory: beetles and flies. Larval food, in the laboratory: springtails, drosophilid flies or tenebrionid larvae. Predators: asilid flies. Larval parasites: bombyliid flies and tiphiid wasps. Defense mechanism: escapes by swift and very long flights (up to I 0 m in high winds). Bright red color of body and behavior makes it look similar to female mutillid wasps (Dasymutilla spp.) found in the same habitat. Quite wary. Very difficult to approach.","Dispersal power. Macropterous. Strong flier. Fast runner. Very agile.",
"Cicindela punctulata chihuahuae Bates, 1890","Ecology. Eurytopic, hygrophilous, halotolerant, epigean. Mostly edges of rivers, brooks, lakes, ponds, marshes, waterholes, irrigation ditches, roadside ditches, and sand dunes; alkali flats in grasslands, prairies and pastures; rocky hillsides. Open ground; usually wet, sometimes moist or dry, muddy, occasionally rocky or dusty, alkaline soil sparsely vegetated with grass or weeds. Adults tend to hide at the border of the low vegetation. Diurnal; hiding during the late afternoon heat. Solitary or occurring in small numbers. Associated species: C. ocellata ocellata.","Biology. Seasonality: June-September, rarely in June. Defense mechanism: escapes by flight.","Dispersal power. Macropterous. Good flier. Occasionally attracted to artificial lights at night. Fast runner.",
"Cicindela punctulata punctulata Olivier, 1790","Ecology. Eurytopic, xerophilous, psammophilous, epigean (adult); fossorial (larva). Both disturbed and undisturbed habitats: roads (sometimes dusty), paved roads, roadcuts, old trails, dusty paths, cow paths, roadsides, roadside ditches, eroded banks, eroded gullies, rocky hillsides, mountain tops, railroad embarkments, strip mine sites, sand dunes, blowouts, sand pits, sand bars, old excavations, yards, city lawns and parks, garden paths, prairies, grasslands, pastures, cultivated fields (soybean, cotton, com, wheat, tobacco, clover, alfalfa, asparagus, small grains), plowed fields, city vacant lots, field edges; city parking lots, streets, sidewalks, and vicinity of dwellings; orchards (apple), clearings, flats and pathways through forests. Open ground; hard-packed, preferably dry, bare or sparsely vegetated soil consisting of sand or sandy loam (sometimes pure loam, clay or, more rarely, gravel or rock). Adults tend to occur at the grassy edge of the habitat. Larval habitat: vacant lots containing bare areas suiTounded with grass clumps; dry mossy situations between grass clumps; moist adobe soil; among willow and cottonwood seedlings; among grass and weeds; ve1tical butTows (third instar) ranging from 30 to 40 cm in depth, usually dug in hardpacked sand, clay or loam. Both diurnal and nocturnal; sheltering in the shade of vegetation, sticks and stones or in mud cracks during the hottest part of the day; hides under pieces of wood on cloudy or cool days; basking, foraging, stilting, and shuttling to shade at 33.4°C, 37.1 °C, 37.2°C, and 37.7°C respectively in AZ; inactive in the field at 38-39°C in KS. Mean minimum thoracic temperature for coordinated walking, in the laboratory: 17.2°C. Gregarious, in small to moderate numbers.","Biology. Seasonality: April- November, mostly July. Summer species. Duration of life cycle: 1 year. Mating: late June-September; coitus lasting 60 min.; interspecific copulation observed with C. sexguttata. Oviposition: June-July; in vacant lots, in rather hard-packed, dry soil, generally in humus or in soil cracks in bare areas surrounded by grass clumps. Duration of larval life: 10 months; larval butTow usually closed in October for overwintering. Pupation: lasting 10 days to 2 weeks; in an oval cell, in May-June. Tenerals: May-July; sexual maturity requiring about 3 weeks. Duration of adult life: 2 months. Overwinters in the larval (third instar) stage, in butTows ranging from 45 to 65 cm in depth. Predaceous. Adult food, in the field: ants, nymphal Jygaeids, acridids, chrysomelids, carabids, and worms. Adult food, in the laboratory: ants, carabids, flies, and Jean meat. Larval food, in the field: small arthropods. Larval food, in the laboratory: cricket nymphs, house flies, and lean meat. Food restriction is the principal cause of larval mortality. Predators: toads, frogs, bluebirds, crows, grackles, starlings, kestrels, flycatchers, robins, skunks, and asilid flies. Larval parasites: bombyliid flies and tiphiid wasps. Seemingly resistant to pesticides. Defense mechanism: cryptic coloration - body color blends with the loamy soil; when alarmed, hides beneath vegetation or climbs up grass stalks or low bushes; escapes by a quick flight when pursued; emits a strong, fruity apple-like scent when captured. Wary. Difficult to approach in the daytime, but easily collected with a flashlight at night. Teratology: one individual (QU) with the sixth segment of the left antenna bifurcate. Captured in malaise traps.","Dispersal power. Macropterous. Good flier. Often attracted in great numbers to artificial lights at night, particularly in cities. Fast runner. Excellent climber.",
"Cicindela puritana G.H. Horn, 1871","Ecology. Stenotopic, riparian, hygrophilous psammophilous, halotolerant, epigean (adult); fossorial (larva). NaiTow beaches of coastal rivers and brooks; adults move to the base of sand-clay cliffs when beaches become flooded at high tide (MD). Open ground; often soft, sandy, sometimes saline soil. Both diurnal (mostly) and nocturnal. Larval habitat: butTows (30-70 cm deep on average) dug into the sand in the upper zone of beaches or at the base of cliffs. Gregarious, swarms by the hundreds. Associated species: C. hirticol lis hirticollis, C. marginata, and C. repanda repanda.","Biology. Seasonality: June-September, mostly July. Summer species. Duration of life cycle: I (rarely) - 2 years. Mating: lasts 39 min. on average; contact-guarding often displayed by the male after copulation. Oviposition sites: cliff faces, in soft sand. Larva able to survive flooding of its habitat. Pupation: May. Tenerals: June. Overwinters in the larval (second or third instar) stage. Predaceous, necrophagous. Adult food, in the field: small flies, beetles, and small dead animals. Adult food, in the laboratory: tenebrionids and small bits of ground beef. Predators: asilid flies and salticid spiders. Larval parasites: tiphiid wasps. Defense mechanism: cryptic coloration - body color blends with surroundings; when disturbed, escapes by short spurts and easily captured. Quite shy.","Dispersal power. Macropterous. Excellent flier. Attracted to artificial lights at night. Fast runner. Long-distance disperser; found at about 45 km from its breeding habitat. Conservation status. Threatened species. Endangered by dam construction, shore stabilization, flood control, recreational land-use, and general urbanization; numbers drastically decreasing in New England.",
"Cicindela purpurea audubonii LeConte, 1845","Ecology. Eurytopic, xerophilous, halotolerant, epigean (adult); fossorial (larva). Eroded clay banks, clay roads, red sandy roads, red sandstone roadcuts, paths, red clay roadsides, ditches, railroad embarkments, blowouts, small openings, clay pits, clay gullies, clay bottoms of ravines, steep clay hills, grassy slopes, clay bottoms near chalk washes; bare, sandy spots in prairies; sandy barrens, sandy banks of streams, salt flats, and alkali flats. Open ground: dry, clayey, sometimes sandy, saline, often sloping soil, bare, sparsely vegetated or with small bare areas between grass clumps. Larval habitat: Blowouts vegetated with bunchgrass; burrows (third instar) dug into clayey soil. Diurnal; becoming active at about 18oC. Solitary. Associated species: C. splendida.","Biology. Seasonality: February-October (e.g., April-May, Sept.emberOctober in WA); becomes active just after snowmelt. Spring-fall species. Mating: March, June. Tenerals: August. Overwinters both ~n the adult and larval (third-instar) stages. Predaceous. Adult food, in the field: scarabaeids. Predators: bluebirds, asilid flies, Pasimachus. Defense mechanism: cryptic coloration - black body and reduced elytral maculations of individuals living on dark soil blend with their surroundings; flies in small spurts like a small grasshopper or readily hides in grass clumps when disturbed. Quite wary.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela purpurea cimarrona LeConte, 1868","Ecology. Eurytopic, steppicolous, epigean. Grasslands, meadows, fields, and open forests: openings, roads, roadsides, and paths. Open ground; clayey or sandy soil, either bare or with small open areas surrounded by grass clumps. Diurnal; active from early morning until the evening. Solitary or semi- gregarious. Associated species: C. longilabris laurentii.","Biology. Seasonality: April-August. Spring-fall species. Defense mechanism: hides in grassy edges or in grass clumps when pursued.","Dispersal power. Macropterous. Fast runner.",
"Cicindela purpurea hatchi Leffler, 1980","Ecology. Eurytopic, steppicolous, epigean (adult); fossorial (larva). Grasslands, glacial outwash prairies, mixed pine and chaparral areas, and sandy beaches. Open ground; soil mostly vegetated with short grass. Larval habitat: a short-grass prairie; burrows (third instar, 5 cm deep) dug into black, stony-loamy soil. Diurnal.","Biology. Seasonality: April-May, July, September.","Dispersal power. Macropterous. Fast runner.",
"Cicindela purpurea lauta Casey, 1897","Ecology. Stenotopic, epigean. South-facing slopes. Open ground; soil sparsely vegetated with herbs. Diurnal.","Biology. Seasonality: April, July-October.","Dispersal power. Macropterous. Fast runner.",
